date,rain,tmax,tmin,vpd,rh,kdownDirect
11/2/1983,0,22.2,3.9,253.87,81,13936.6
11/3/1983,0.0005,21.7,5,302.07,80.2,10447.2
11/4/1983,0.0066,17.8,11.1,190.86,85.8,5870.1
11/5/1983,0,14.4,-2.2,140.23,82,13890.6
11/6/1983,0,18.9,-3.3,192.21,77.8,14300.6
11/7/1983,0,15.6,1.1,214.39,79.3,8359.5
11/8/1983,0,21.1,0,239.54,77.3,14576.7
11/9/1983,0.001,19.4,2.2,208.33,84.5,6154.6
11/10/1983,0.003,16.7,11.7,270.91,80.9,5924.4
11/11/1983,0,7.2,3.3,206.19,75.9,4271.8
11/12/1983,0,11.1,-2.2,315.43,56.9,14635.3
11/13/1983,0,8.3,-1.7,200.67,71.8,9731.8
11/14/1983,0.0056,10.6,-6.7,112.12,85.3,6681.7
11/15/1983,0.0368,12.8,5,155.44,85.9,3882.7
11/16/1983,0,6.1,3.3,240.98,70.4,3753
11/17/1983,0,10.6,-0.6,270.08,63.3,13526.6
11/18/1983,0,16.7,-4.4,172.39,77.3,13233.7
11/19/1983,0,19.4,0,346.92,68.9,11932.5
11/20/1983,0.0292,13.9,7.2,193.48,86,1857.7
11/21/1983,0,18.3,-1.7,167.63,79.8,13258.8
11/22/1983,0,21.1,-2.8,189.53,78.9,12978.5
11/23/1983,0.029,18.3,4.4,379.99,73.8,6367.9
11/24/1983,0.0244,15,13.3,178.64,87.2,1644.3
11/25/1983,0,9.4,-0.6,282.19,60.9,13062.2
11/26/1983,0,17.2,-5,167.8,76.2,12560.1
11/27/1983,0.029,17.2,-3.3,95.06,89.5,1435.1
11/28/1983,0.0432,17.2,0.6,381.07,74.4,11053.9
11/29/1983,0,10.6,-1.7,212.18,69.1,12593.6
11/30/1983,0,13.3,-7.2,180.27,70.6,12208.7
12/1/1983,0,12.2,-2.2,190.07,73.3,11120.8
12/2/1983,0.0122,15.6,-5.6,227.32,73.3,8598
12/3/1983,0.0752,15.6,7.2,163.35,88,2615
12/4/1983,0.0013,16.7,11.1,319.52,76.5,11966
12/5/1983,0.0048,17.2,-1.7,153.41,85,9664.8
12/6/1983,0.0406,17.8,8.9,407.22,68.5,6639.9
12/7/1983,0,6.7,-4.4,210.2,62.1,11811.2
12/8/1983,0,9.4,-6.7,160.46,72.2,11664.8
12/9/1983,0,11.7,-7.2,183.12,75.1,11043.1
12/10/1983,0,18.3,-1.7,193.62,78.1,10415.7
12/11/1983,0.0589,11.1,2.2,193.3,81.1,1171.2
12/12/1983,0,15,7.2,183.3,84,7300.9
12/13/1983,0,10,0.6,100.86,87.9,5351.2
12/14/1983,0.0038,8.3,0.6,141.94,84.3,2292.8
12/15/1983,0,7.2,-3.9,223.82,67.9,8539.4
12/16/1983,0,10.6,-4.4,280.56,59.9,9807.1
12/17/1983,0,10,-2.2,171.03,73.9,11053.9
12/18/1983,0,12.2,-7.2,147.36,74.9,9853.1
12/19/1983,0,9.4,-6.1,174.78,73.4,9041.4
12/20/1983,0,4.4,0,215.05,70.2,3025
12/21/1983,0.0076,9.4,1.1,211.99,76.8,2376.5
12/22/1983,0.0081,13.3,2.8,143.66,85.4,5317.8
12/23/1983,0,5.6,-3.9,136.75,77.5,6635.7
12/24/1983,0,-10,-10,177.33,47.1,9991.2
12/25/1983,0,-10.6,-18.9,130.72,36.6,11815.4
12/26/1983,0,-3.3,-20,127.02,55.6,10576.9
12/27/1983,0.0152,3.3,-9.4,110.34,79.1,3221.6
12/28/1983,0.0556,12.2,1.1,107.28,86.9,6995.5
12/29/1983,0,3.3,-1.1,166.4,71.2,7966.2
12/30/1983,0,-1.1,-15,124.11,56.7,11781.9
12/31/1983,0,5.6,-16.7,84.92,74.7,11865.6
1/1/1984,0,9.4,-11.7,116,73.7,11589.4
1/2/1984,0,7.2,-7.8,171.9,67.7,5167.2
1/3/1984,0,10,-6.7,116.77,78.8,11120.8
1/4/1984,0,12.2,-9.4,164.41,72.7,10777.8
1/5/1984,0.0005,12.2,1.1,204.48,73.3,11388.6
1/6/1984,0,16.1,-5,246.98,68.3,10585.3
1/7/1984,0,10,-2.8,312.07,54.7,11756.8
1/8/1984,0,13.9,-6.1,161.56,74,11702.4
1/9/1984,0,17.8,-5,242.08,68,10769.4
1/10/1984,0.0378,7.2,3.3,132,85,920.5
1/11/1984,0,8.9,-2.8,197.9,69.1,12330
1/12/1984,0,7.2,-9.4,190.83,59.5,12392.8
1/13/1984,0,7.2,-3.3,104.7,83.6,5522.8
1/14/1984,0,11.1,-3.3,138.2,79.9,11045.5
1/15/1984,0.0005,1.7,-2.2,96.42,85.8,1560.6
1/16/1984,0.001,6.7,-1.7,94.63,85.6,4903.6
1/17/1984,0.0005,11.7,-7.8,156.76,75.8,11451.4
1/18/1984,0.0279,7.8,2.2,114.06,87.4,2548
1/19/1984,0,1.1,-3.3,175.31,66.4,13012
1/20/1984,0,1.7,-13.3,149.19,59.2,10183.7
1/21/1984,0,2.8,-13.3,150.7,60.7,13652.1
1/22/1984,0,6.7,-13.9,129.32,65.8,13777.6
1/23/1984,0.0107,8.9,-10.6,175.68,71.6,6154.6
1/24/1984,0.0335,12.2,2.2,146.44,86.4,3397.4
1/25/1984,0,11.1,3.3,172.52,80.9,6217.3
1/26/1984,0,15,-6.1,167.36,76.8,13447.1
1/27/1984,0,16.7,-0.6,220.95,74.1,13652.1
1/28/1984,0,8.3,-4.4,179.06,71.3,8008
1/29/1984,0,11.1,-3.9,239.76,63.3,14455.4
1/30/1984,0,12.2,-5,261.8,60.8,8627.2
1/31/1984,0,7.2,-7.8,230.76,52.8,13342.5
2/1/1984,0,12.2,-10,174.83,65.4,15133.2
2/2/1984,0,14.4,-8.3,228.38,62.7,15062.1
2/3/1984,0.0099,10,0,179.77,82.1,3225.8
2/4/1984,0,13.3,-1.7,228.96,69.6,14560
2/5/1984,0.002,2.8,-2.2,204.31,65.4,8112.6
2/6/1984,0,0,-11.7,160.5,58.8,16028.6
2/7/1984,0,5.6,-15,173.61,53.9,16585
2/8/1984,0,13.3,-12.2,149.67,68.6,16187.5
2/9/1984,0,18.3,-7.8,199.24,66.3,16066.2
2/10/1984,0.0163,11.1,-3.3,126.26,85.8,2192.4
2/11/1984,0,16.1,6.1,265.66,78.8,8560.3
2/12/1984,0.0196,15,5.6,208.97,84.1,3112.9
2/13/1984,0.11,13.9,11.1,220.85,84.4,1610.8
2/14/1984,0,15.6,3.9,350.51,66.3,16936.5
2/15/1984,0,20.6,-2.8,256.13,69,17559.9
2/16/1984,0,18.3,-1.7,257.71,71.4,11857.2
2/17/1984,0,19.4,0.6,319.65,67.9,17476.2
2/18/1984,0,20,-2.8,301.32,67,15250.4
2/19/1984,0.003,21.7,0.6,329.71,73.8,11882.3
2/20/1984,0,17.2,1.7,362.02,63.8,16346.5
2/21/1984,0,16.7,-2.8,277.66,64,16028.6
2/22/1984,0.0048,11.1,-5.6,186.52,73.8,6401.4
2/23/1984,0.0259,9.4,2.8,168.8,79.8,7234
2/24/1984,0.0038,18.3,-2.2,306.53,65.4,15798.4
2/25/1984,0,8.9,1.7,309.59,59.1,18446.9
2/26/1984,0,11.1,-5.6,239.91,64.8,14041.2
2/27/1984,0.0467,10.6,0,199.98,80,1267.8
2/28/1984,0.0033,0.6,0,173.18,71.9,5736.2
2/29/1984,0,0.6,-6.1,217.94,53.8,16020.2
3/1/1984,0,8.3,-9.4,290.37,44.6,20053.5
3/2/1984,0,12.8,-6.7,224.76,66.5,16965.8
3/3/1984,0,13.9,-5,223.18,68.2,13790.2
3/4/1984,0,12.8,-3.9,278.78,67.3,7589.6
3/5/1984,0.018,13.3,8.3,246.43,81.3,5368
3/6/1984,0.0023,17.2,5,244.55,77.8,10543.5
3/7/1984,0,11.1,-2.2,243.94,63.8,19815
3/8/1984,0,13.3,-5,361.86,50.9,13790.2
3/9/1984,0,5.6,-8.3,283.34,44.1,21794
3/10/1984,0,5.6,-6.7,199.98,63.8,9531
3/11/1984,0,11.1,-7.8,209.49,63.9,22103.6
3/12/1984,0.0041,11.1,-6.7,300.84,57.7,18300.4
3/13/1984,0.0069,13.3,3.9,183.47,82.5,6585.5
3/14/1984,0,21.7,-1.7,242.96,70.5,22233.3
3/15/1984,0,23.9,-2.2,423.71,62.6,21660.1
3/16/1984,0.0005,21.7,5.6,429.07,71.4,13639.6
3/17/1984,0.0028,13.3,1.7,182.87,83.7,5464.2
3/18/1984,0.0013,22.8,8.9,351.29,77.4,14442.9
3/19/1984,0,26.1,6.7,403.43,70.2,19225.1
3/20/1984,0.0706,15.6,10.6,76.28,90.9,2723.8
3/21/1984,0.0008,6.7,0.6,169.3,77.3,1895.3
3/22/1984,0.0005,15,0,517.41,42.9,24714.3
3/23/1984,0,19.4,-2.2,427.95,50.4,24622.3
3/24/1984,0.0074,20.6,-1.7,453.78,60.1,18338.1
3/25/1984,0,20,10,560.16,61.6,15480.5
3/26/1984,0,18.3,3.9,448.45,61.3,14836.1
3/27/1984,0.0099,15,2.2,258.73,78.2,8439
3/28/1984,0.0569,20,5,295.94,79.2,7075
3/29/1984,0.001,5,4.4,209.46,76,3882.7
3/30/1984,0,5.6,-0.6,440.64,50.5,24400.5
3/31/1984,0,14.4,-3.3,447.58,47.3,23275.1
4/1/1984,0,16.1,-1.7,462.31,48.7,25199.7
4/2/1984,0,20,-3.9,420.16,53.8,23877.6
4/3/1984,0.0183,12.8,6.1,221.43,82.6,2681.9
4/4/1984,0.0498,18.3,8.3,454.59,69.8,11104.1
4/5/1984,0.0008,11.1,5.6,325.59,68.1,8263.2
4/6/1984,0,14.4,5,596.38,46.7,23806.4
4/7/1984,0,21.1,3.3,802.67,35.5,26049
4/8/1984,0,17.2,4.4,701.87,43.8,12355.1
4/9/1984,0.0269,10,8.3,193.66,83,1092
4/10/1984,0.0018,14.4,6.1,279.25,76.9,10284.1
4/11/1984,0,20,5.6,444.87,67,20095.3
4/12/1984,0,20,2.2,496.68,59.8,24505.1
4/13/1984,0,23.9,6.1,652.15,59.9,17677
4/14/1984,0.0025,23.3,7.2,451.17,69.4,13886.4
4/15/1984,0,17.8,1.1,446.11,58.8,19861
4/16/1984,0.0053,12.2,1.1,240.09,74.8,11288.2
4/17/1984,0.002,10,2.8,249.15,74.1,8300.9
4/18/1984,0,14.4,-1.1,315.32,64.6,14271.3
4/19/1984,0.0048,7.8,-2.2,138.77,83.5,4836.6
4/20/1984,0.013,14.4,3.3,194.98,82.5,5790.6
4/21/1984,0,22.2,8.3,461.42,73.3,19124.6
4/22/1984,0.0213,13.9,13.9,309,80.4,4347.1
4/23/1984,0,16.7,7.8,499.46,61,17518
4/24/1984,0,17.2,3.9,515.44,54.3,19576.5
4/25/1984,0,27.2,1.7,655.88,52.5,26475.8
4/26/1984,0,28.9,3.9,790.22,49.2,27086.6
4/27/1984,0.0269,17.2,11.7,366.07,78.5,2903.7
4/28/1984,0.0216,21.7,12.8,368.43,79.6,8723.5
4/29/1984,0,21.7,8.3,422.03,76.9,10233.9
4/30/1984,0.0099,21.1,16.7,503.64,74.1,10823.8
5/1/1984,0,23.9,2.2,588.07,55,27831.3
5/2/1984,0.0211,16.1,7.8,300.8,79,7192.2
5/3/1984,0.0457,20.6,12.2,368.28,77.9,10196.2
5/4/1984,0.0008,21.1,9.4,707.34,58.3,27927.6
5/5/1984,0,25,3.3,630.85,58.1,21091.1
5/6/1984,0.0386,23.3,11.1,529.75,73.8,4037.5
5/7/1984,0.0452,22.8,10,435.85,77.1,11208.7
5/8/1984,0.0208,21.1,13.3,490.63,70,8685.8
5/9/1984,0,16.7,-0.6,446.97,57.8,27898.3
5/10/1984,0,21.7,0,476.36,60.3,27935.9
5/11/1984,0,26.7,2.8,591.87,60.5,27203.8
5/12/1984,0,26.1,6.7,630.31,66.3,19831.7
5/13/1984,0,27.2,8.3,700.89,64.6,22354.6
5/14/1984,0,27.2,12.8,917.36,54.6,25471.6
5/15/1984,0,21.1,5.6,750.31,45.3,28714.1
5/16/1984,0,21.1,0.6,606.36,46,29580.2
5/17/1984,0,23.9,-0.6,583.24,50.7,29002.8
5/18/1984,0,27.2,3.3,674.64,54.5,28320.9
5/19/1984,0,28.9,5.6,731.45,59.1,27291.6
5/20/1984,0,27.8,8.9,754.59,61,27191.2
5/21/1984,0.0018,23.9,11.7,534.99,73.7,14748.3
5/22/1984,0.033,25.6,13.9,535.54,75.4,17472
5/23/1984,0,23.9,14.4,539.28,74.8,2979
5/24/1984,0,25,6.1,627.64,64.2,15493
5/25/1984,0,23.9,6.7,491.21,73.8,21024.1
5/26/1984,0,27.8,13.9,571.58,74.5,15790.1
5/27/1984,0.0018,27.2,13.3,606.15,73.7,18810.9
5/28/1984,0.0213,23.3,16.1,529.28,77.2,12137.5
5/29/1984,0,22.8,16.1,721.18,63.9,26128.5
5/30/1984,0,13.9,3.3,533.24,53.8,25195.5
5/31/1984,0,18.3,1.1,553.02,55.5,30785.2
6/1/1984,0,25,1.1,453.17,68.9,29919.1
6/2/1984,0,28.9,5.6,603.43,68,29019.6
6/3/1984,0,30,9.4,607.77,72.8,29207.8
6/4/1984,0,28.9,10.6,493.78,77.8,27396.2
6/5/1984,0,28.9,11.1,541.3,76.7,25902.6
6/6/1984,0,30,11.1,505.52,79.1,24706
6/7/1984,0,30.6,13.9,551.17,78.8,27634.7
6/8/1984,0,28.9,14.4,539.25,78.4,26362.8
6/9/1984,0,28.9,10.6,555.61,75.5,29325
6/10/1984,0,30.6,11.1,520.84,78.2,25383.8
6/11/1984,0,30,13.3,509.05,79.7,23609.8
6/12/1984,0,29.4,12.2,409.64,83.1,22551.3
6/13/1984,0,28.9,12.2,362.89,84.5,20015.8
6/14/1984,0,30.6,12.2,364.16,84.6,21877.7
6/15/1984,0.0051,28.9,14.4,199.32,91,14355
6/16/1984,0,30,13.3,321.19,86.6,19777.3
6/17/1984,0,30,16.7,482.33,82,23199.8
6/18/1984,0,29.4,12.8,383.96,84.5,20040.9
6/19/1984,0.0005,31.7,12.8,427.77,82.7,24254.1
6/20/1984,0.0109,30.6,15.6,118.8,94.3,14371.7
6/21/1984,0.0853,28.9,16.1,116.74,94.2,15744.1
6/22/1984,0.0015,23.3,17.8,55.08,97,9016.3
6/23/1984,0,25.6,14.4,141.86,92.4,14229.5
6/24/1984,0.0122,28.3,17.8,107.72,94.3,13802.7
6/25/1984,0,27.2,12.8,526.74,74.9,29919.1
6/26/1984,0,27.2,8.3,441.21,78.2,27182.8
6/27/1984,0.0208,27.8,10,390.95,82.4,25630.6
6/28/1984,0,27.8,13.9,337.53,85.9,20003.3
6/29/1984,0.0112,26.1,15,267.9,88.4,17384.1
6/30/1984,0.0025,22.8,15.6,206.06,90.1,14806.9
7/1/1984,0,25,9.4,262.03,87,18124.7
7/2/1984,0,26.1,12.8,272.13,87.4,15597.6
7/3/1984,0,27.8,13.3,324.88,85.6,21045.1
7/4/1984,0.0013,29.4,11.7,259.85,88.6,17183.3
7/5/1984,0.0264,26.1,15.6,194.02,92,14208.6
7/6/1984,0.0051,27.8,15,292.58,88,20685.2
7/7/1984,0.0071,27.2,14.4,215.96,90.5,16246.1
7/8/1984,0,26.1,11.1,296.67,86.3,22509.4
7/9/1984,0,29.4,10.6,408.68,82,27115.9
7/10/1984,0.0005,31.7,12.8,373.41,85.6,23287.6
7/11/1984,0,32.2,16.1,548.97,80.3,24459.1
7/12/1984,0.0003,29.4,15.6,465.87,83.5,22304.4
7/13/1984,0.0038,25.6,17.8,221.92,91.5,12539.2
7/14/1984,0,30,18.9,394.46,85.9,21589
7/15/1984,0.0013,29.4,17.8,367.36,87,18350.6
7/16/1984,0,26.1,17.2,282.77,89.1,12321.6
7/17/1984,0.015,25.6,17.8,189.42,92.4,8535.2
7/18/1984,0.0041,26.7,17.2,398.12,83.6,23919.4
7/19/1984,0,26.1,10,402.68,81,28525.9
7/20/1984,0,26.7,14.4,337.41,86.1,17882
7/21/1984,0,27.8,12.8,386.32,84.2,23923.6
7/22/1984,0.0071,25,15.6,190.83,91.3,15212.7
7/23/1984,0,27.2,14.4,344.95,85.6,20128.8
7/24/1984,0.0038,28.9,13.9,333.16,87,18442.7
7/25/1984,0.0284,29.4,17.2,348.26,86.9,19321.3
7/26/1984,0.0437,25.6,16.7,155.46,93.2,9551.9
7/27/1984,0.0069,27.8,16.7,300.49,87.8,16338.2
7/28/1984,0.0089,23.3,16.7,174.76,92.1,7936.9
7/29/1984,0.0165,18.3,15.6,127.08,93.5,4635.8
7/30/1984,0.018,20,15,134.27,93.3,7690
7/31/1984,0.0165,21.7,15,127.89,94,5727.8
8/1/1984,0.0071,23.9,16.1,171.49,92.7,8267.4
8/2/1984,0.0013,27.8,17.2,327.17,87.5,18379.9
8/3/1984,0.001,28.3,16.7,380.25,85.7,20597.4
8/4/1984,0,30,14.4,400.5,84.2,24998.8
8/5/1984,0.0005,27.2,14.4,299.01,87.8,15246.2
8/6/1984,0,28.9,13.3,358.31,85.6,21308.6
8/7/1984,0.0053,27.2,13.9,236.18,90.2,15806.8
8/8/1984,0.0008,28.9,13.9,290.79,88.2,20296.1
8/9/1984,0.0036,28.3,14.4,241.65,90.1,15999.3
8/10/1984,0,29.4,14.4,274.11,88.9,16024.4
8/11/1984,0,28.3,15,329.22,86.9,18547.3
8/12/1984,0.001,26.1,17.2,256.19,89.8,11200.3
8/13/1984,0.0015,26.7,17.2,255.44,90,12376
8/14/1984,0,28.3,16.7,298.79,88.3,15840.3
8/15/1984,0,27.8,13.3,287.8,88.2,17476.2
8/16/1984,0.0036,27.2,13.9,232.62,90.5,15011.9
8/17/1984,0,28.9,15.6,397.75,84,23078.4
8/18/1984,0,26.7,14.4,289.65,87.9,15016.1
8/19/1984,0,27.8,14.4,394.31,83.9,22639.1
8/20/1984,0,28.9,12.8,414.92,82.9,23329.5
8/21/1984,0.0081,25.6,15.6,302.45,87.3,17530.6
8/22/1984,0,27.8,12.2,308.27,86.8,18957.3
8/23/1984,0.0013,27.2,16.1,465.14,79.8,23701.8
8/24/1984,0,26.1,11.7,318.94,85.3,16216.8
8/25/1984,0,26.1,16.1,368.75,84.7,17187.5
8/26/1984,0,25,16.7,294.84,87.4,12296.5
8/27/1984,0.0003,23.9,14.4,203.12,90.9,7606.4
8/28/1984,0.013,23.3,16.7,186.22,92,8213
8/29/1984,0.003,27.8,16.1,318.07,87.3,17614.3
8/30/1984,0.0008,27.8,17.2,301.25,87.7,14413.6
8/31/1984,0,28.9,13.3,454.85,80,25032.3
9/1/1984,0,28.9,11.7,353.3,83.7,23496.8
9/2/1984,0,29.4,11.7,369.81,83.8,22906.9
9/3/1984,0.0008,28.3,14.4,352.87,85,15141.6
9/4/1984,0,22.8,15.6,347.11,83.3,14283.9
9/5/1984,0,23.3,10,308.28,82.9,19438.4
9/6/1984,0,24.4,5.6,323.59,80,24371.3
9/7/1984,0,22.2,6.1,340.36,79.2,23952.9
9/8/1984,0,22.2,5.6,331.52,78.6,24659.9
9/9/1984,0,24.4,6.1,315.36,82,22593.1
9/10/1984,0,28.9,7.8,370.57,81.3,23852.5
9/11/1984,0,29.4,11.1,392.99,82.6,22153.8
9/12/1984,0,29.4,11.7,431.19,81,21953
9/13/1984,0,30,11.1,402.63,81.8,22978
9/14/1984,0,31.1,10.6,329.81,85.5,19635.1
9/15/1984,0,25.6,13.9,387.6,81.5,19815
9/16/1984,0,21.1,4.4,302.28,80,19325.5
9/17/1984,0,20.6,3.3,346.56,75.5,21961.3
9/18/1984,0,20.6,4.4,255.94,81.9,16781.7
9/19/1984,0,25,3.9,286.72,79.8,21781.4
9/20/1984,0,27.2,3.3,301.51,80.6,22074.3
9/21/1984,0,27.8,5.6,337.38,80.5,21764.7
9/22/1984,0,26.1,7.2,362.73,80.3,20497
9/23/1984,0,25.6,12.2,432.52,80,18831.8
9/24/1984,0,26.7,10,302.37,85,17183.3
9/25/1984,0,30,11.7,426.45,79.5,20844.2
9/26/1984,0,28.3,8.9,351.69,82.8,17819.3
9/27/1984,0,17.2,12.8,249.58,85.6,5794.7
9/28/1984,0,22.8,11.7,238.45,87.5,8886.6
9/29/1984,0.0025,16.1,13.3,139.18,91.9,2874.4
9/30/1984,0.003,13.3,11.1,102.86,92.7,3769.7
10/1/1984,0,12.8,7.2,356.05,70.1,17028.5
10/2/1984,0,18.9,0,298.96,73.1,21409.1
10/3/1984,0,22.2,-2.8,228.45,78.8,20011.6
10/4/1984,0,24.4,1.1,292.95,79.2,19497
10/5/1984,0,25,6.1,282.95,82.5,16083
10/6/1984,0,22.2,6.1,280.13,83.2,11685.7
10/7/1984,0,18.9,14.4,311.41,83.3,6497.6
10/8/1984,0.0013,20,14.4,224.25,88,5334.5
10/9/1984,0.0086,19.4,14.4,147.65,91.8,5422.4
10/10/1984,0,21.7,11.1,193.29,89.3,8782
10/11/1984,0,23.9,10.6,283.04,83.7,15426.1
10/12/1984,0,24.4,5,257.22,83.3,14773.4
10/13/1984,0,25.6,7.2,317.55,79.2,16810.9
10/14/1984,0,26.7,5.6,300.99,82,15149.9
10/15/1984,0,24.4,8.9,313.37,82.5,10731.7
10/16/1984,0,25.6,11.1,344.95,82.4,14949.1
10/17/1984,0.0267,25,12.2,252.45,87.5,9690
10/18/1984,0,28.3,11.7,335.13,83.4,15292.2
10/19/1984,0,26.7,12.2,409.05,79.8,14560
10/20/1984,0.0155,23.3,12.2,233.72,88.6,7024.8
10/21/1984,0.0328,20.6,16.1,216,89.4,4267.6
10/22/1984,0.0201,22.2,15.6,214.59,89,7008.1
10/23/1984,0.0157,20,12.2,158.8,91.2,5798.9
10/24/1984,0.0005,21.1,13.3,167.01,90.8,5121.1
10/25/1984,0.0185,24.4,13.3,294.92,84.5,12765.1
10/26/1984,0,26.1,8.9,308.78,81.6,16129
10/27/1984,0,22.2,6.7,169.57,89.5,7229.8
10/28/1984,0.0251,21.1,15,200.91,90.3,4405.7
10/29/1984,0.0033,25.6,16.1,282.46,86.3,11217.1
10/30/1984,0,25.6,11.1,259.42,85.6,12756.8
10/31/1984,0,24.4,7.2,278.36,83.6,14329.9
11/1/1984,0,19.4,12.2,199.44,88.8,4744.6
11/2/1984,0.0071,18.9,12.2,155.83,90.3,3614.9
11/3/1984,0.002,13.3,11.1,155.81,89.1,2594.1
11/4/1984,0.015,13.3,10,105.66,92.2,3012.4
11/5/1984,0,17.2,7.8,335.68,74.3,10752.7
11/6/1984,0,11.1,0.6,327.79,61.2,15672.9
11/7/1984,0,13.3,-5.6,183.71,73.6,14798.5
11/8/1984,0,15,-5,168.79,77.6,14580.9
11/9/1984,0,17.8,-4.4,218.21,74.1,14288.1
11/10/1984,0.033,15,-1.1,126.43,88.5,4560.5
11/11/1984,0,7.8,2.2,205.81,77.3,8008
11/12/1984,0,10,-3.3,222.14,67.4,14518.2
11/13/1984,0,12.8,-8.3,160.56,69.5,14848.7
11/14/1984,0,16.1,-8.3,182.75,69.8,14175.1
11/15/1984,0.0015,17.2,-3.9,238.65,73.5,12890.6
11/16/1984,0.0018,14.4,7.2,318.46,69,10874
11/17/1984,0,14.4,-8.3,198.29,67,14020.3
11/18/1984,0.0033,16.1,-3.3,288.68,74.2,5907.7
11/19/1984,0.0183,20,10,329.67,78.5,13731.6
11/20/1984,0,10,2.8,172.78,79.7,7405.5
11/21/1984,0,6.7,-4.4,136.01,77.3,9246.5
11/22/1984,0,10,-9.4,104.64,79.5,13045.4
11/23/1984,0,14.4,-8.9,119.94,78.5,13150
11/24/1984,0,16.1,-7.2,134.6,77.9,13003.6
11/25/1984,0,18.3,-6.7,189.66,72.1,10886.5
11/26/1984,0,18.3,-5,253.09,71.8,12434.6
11/27/1984,0.0081,16.1,3.9,280.5,82.3,2200.8
11/28/1984,0.0556,9.4,6.1,217.97,78.8,8100.1
11/29/1984,0,12.2,-6.7,111.5,81.5,12384.4
11/30/1984,0.0005,12.8,-6.1,90.25,87.8,6669.2
12/1/1984,0,10.6,-2.2,100.86,86.3,8049.9
12/2/1984,0.0175,13.3,-3.9,116.02,85.9,7372.1
